,crash_date,crash_time,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,collision_id,vehicle_type_code1,latitude,longitude,location,on_street_name,borough,zip_code,off_street_name,contributing_factor_vehicle_2,vehicle_type_code2,contributing_factor_vehicle_3,vehicle_type_code_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,vehicle_type_code_4,vehicle_type_code_5,crash_year
103,2021-09-11T00:00:00.000,2025-11-21 01:28:00,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Unspecified,4457900.0,E-Bike,40.79599,-73.96896,"{'latitude': 40.79599, 'longitude': -73.96896, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AMSTERDAM AVENUE,,,,,,,,,,,,2021.0
426,2021-09-25T00:00:00.000,2025-11-21 22:26:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unspecified,4461286.0,E-Bike,40.65753,-73.89797,"{'latitude': 40.65753, 'longitude': -73.89797, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SNEDIKER AVENUE,BROOKLYN,11207.0,LINDEN BOULEVARD,Unspecified,,,,,,,,2021.0
1641,2021-06-11T00:00:00.000,2025-11-21 12:29:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,4443102.0,Bike,,,,VAN CORTLANDT PARK SOUTH,BRONX,10463.0,DICKINSON AVENUE,,,,,,,,,2021.0
2551,2022-01-16T00:00:00.000,2025-11-21 11:08:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Pavement Defective,4495187.0,Bike,40.757694,-74.000595,"{'latitude': 40.757694, 'longitude': -74.000595, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST 37 STREET,MANHATTAN,10018.0,11 AVENUE,,,,,,,,,2022.0
2558,2022-07-11T00:00:00.000,2025-11-21 00:37:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,4545939.0,Bike,40.77981,-73.95035,"{'latitude': 40.77981, 'longitude': -73.95035, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2 AVENUE,,,,,,,,,,,,2022.0
2651,2021-06-27T00:00:00.000,2025-11-21 12:30:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,4484778.0,Bike,40.646175,-73.920105,"{'latitude': 40.646175, 'longitude': -73.920105, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RALPH AVENUE,BROOKLYN,11236.0,COVENTRY ROAD,,,,,,,,,2021.0
2675,2022-02-24T00:00:00.000,2025-11-21 22:15:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Pavement Defective,4505687.0,Bike,40.747654,-73.87072,"{'latitude': 40.747654, 'longitude': -73.87072, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",40 DRIVE,,,,,,,,,,,,2022.0
3850,2022-06-23T00:00:00.000,2025-11-21 19:27:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unspecified,4540544.0,Bike,,,,CROSS ISLAND PARKWAY,,,,,,,,,,,,2022.0
4532,2023-01-18T00:00:00.000,2025-11-21 22:15:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,4599746.0,E-Bike,40.771248,-73.84374,"{'latitude': 40.771248, 'longitude': -73.84374, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",COLLEGE POINT BOULEVARD,QUEENS,11354.0,30 AVENUE,,,,,,,,,2023.0
4945,2023-02-21T00:00:00.000,2025-11-21 17:13:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,4607654.0,E-Bike,,,,hudson river greenway,,,west 94 street,,,,,,,,,2023.0
4979,2022-09-23T00:00:00.000,2025-11-21 23:10:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Failure to Yield Right-of-Way,4566835.0,Bike,40.64453,-73.94599,"{'latitude': 40.64453, 'longitude': -73.94599, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK AVENUE,BROOKLYN,11226.0,CORTELYOU ROAD,Traffic Control Disregarded,,,,,,,,2022.0
5306,2023-03-09T00:00:00.000,2025-11-21 23:30:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unspecified,4611702.0,Bike,40.707783,-73.932076,"{'latitude': 40.707783, 'longitude': -73.932076, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MORGAN AVENUE,,,JOHNSON AVENUE,,,,,,,,,2023.0
5518,2023-03-17T00:00:00.000,2025-11-21 14:53:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Lost Consciousness,4614269.0,E-Bike,40.838497,-73.939835,"{'latitude': 40.838497, 'longitude': -73.939835, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST 165 STREET,MANHATTAN,10032.0,SAINT NICHOLAS AVENUE,,,,,,,,,2023.0
5885,2023-04-16T00:00:00.000,2025-11-21 22:50:00,976       MC DONALD AVENUE,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Alcohol Involvement,4621050.0,Bike,40.630096,-73.97706,"{'latitude': 40.630096, 'longitude': -73.97706, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,BROOKLYN,11230.0,,,,,,,,,,2023.0
6072,2023-03-07T00:00:00.000,2025-11-21 18:55:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,4610950.0,E-Bike,40.58369,-73.92157,"{'latitude': 40.58369, 'longitude': -73.92157, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BELT PARKWAY,,,,,,,,,,,,2023.0
6075,2023-06-04T00:00:00.000,2025-11-21 00:52:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unspecified,4637331.0,Bike,40.715225,-73.9445,"{'latitude': 40.715225, 'longitude': -73.9445, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CONSELYEA STREET,BROOKLYN,11211.0,GRAHAM AVENUE,,,,,,,,,2023.0
6958,2023-09-20T00:00:00.000,2025-11-21 20:21:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Traffic Control Disregarded,4664178.0,E-Bike,40.67243,-73.841194,"{'latitude': 40.67243, 'longitude': -73.841194, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",PITKIN AVENUE,QUEENS,11417.0,95 STREET,Unspecified,,,,,,,,2023.0
7558,2023-12-08T00:00:00.000,2025-11-21 08:43:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Pavement Defective,4692318.0,E-Bike,40.67268,-73.953026,"{'latitude': 40.67268, 'longitude': -73.953026, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ROGERS AVENUE,,,,,,,,,,,,2023.0
7697,2024-03-11T00:00:00.000,2025-11-21 16:09:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unspecified,4709147.0,E-Bike,40.642097,-74.00987,"{'latitude': 40.642097, 'longitude': -74.00987, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6 AVENUE,BROOKLYN,11220.0,53 STREET,,,,,,,,,2024.0
7847,2024-05-23T00:00:00.000,2025-11-21 23:07:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,4727182.0,Bike,,,,Washington Bridge,MANHATTAN,10033.0,Amsterdam Avenue,Unspecified,,,,,,,,2024.0
8807,2021-01-06T00:00:00.000,2025-11-21 14:46:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Driver Inattention/Distraction,4390593.0,E-Bike,40.64433,-73.919914,"{'latitude': 40.64433, 'longitude': -73.919914}",RALPH AVENUE                    ,,,,,,,,,,,,2021.0
9249,2020-09-07T00:00:00.000,2025-11-21 19:47:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unspecified,4345625.0,Bike,,,,WEST DRIVE                      ,BROOKLYN,11226.0,WELL HOUSE DRIVE,,,,,,,,,2020.0
9325,2020-09-23T00:00:00.000,2025-11-21 19:47:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unspecified,4351821.0,E-Bike,40.85352,-73.902725,"{'latitude': 40.85352, 'longitude': -73.902725}",GRAND CONCOURSE                 ,BRONX,10453.0,EAST 180 STREET,,,,,,,,,2020.0
9407,2020-09-05T00:00:00.000,2025-11-21 01:14:00,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Unspecified,4345624.0,E-Bike,,,,Willis Avenue Bridge Pedestrian/,,,East 135 Street,,,,,,,,,2020.0
10107,2020-06-16T00:00:00.000,2025-11-21 08:52:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,4320573.0,Bike,40.764896,-73.97256,"{'latitude': 40.764896, 'longitude': -73.97256}",5 AVENUE                        ,MANHATTAN,10022.0,EAST 60 STREET,Unspecified,Bus,,,,,,,2020.0
10881,2019-09-27T00:00:00.000,2025-11-21 19:44:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Failure to Yield Right-of-Way,4214054.0,Bike,40.586746,-73.81712,"{'latitude': 40.586746, 'longitude': -73.81712}",ROCKAWAY FREEWAY                ,QUEENS,11693.0,BEACH 94 STREET,Unspecified,Station Wagon/Sport Utility Vehicle,,,,,,,2019.0
11196,2019-08-26T00:00:00.000,2025-11-21 15:21:00,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Other Vehicular,4195176.0,E-Bik,,,,EAST DRIVE                      ,,,EAST 74 STREET,,,,,,,,,2019.0
12150,2019-04-27T00:00:00.000,2025-11-21 18:35:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Oversized Vehicle,4121753.0,Bike,40.75326,-74.00383,"{'latitude': 40.75326, 'longitude': -74.00383}",11 AVENUE                       ,,,,Unspecified,Tractor Truck Diesel,,,,,,,2019.0
12168,2019-04-04T00:00:00.000,2025-11-21 16:35:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Illnes,4108883.0,Bike,40.72857,-73.85809,"{'latitude': 40.72857, 'longitude': -73.85809}",QUEENS BOULEVARD                ,,,65 ROAD,,,,,,,,,2019.0
13188,2018-09-01T00:00:00.000,2025-11-21 16:24:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Driver Inattention/Distraction,3973645.0,Bike,40.846825,-73.89705,"{'latitude': 40.846825, 'longitude': -73.89705000000001}",BATHGATE AVENUE                 ,BRONX,10457.0,EAST TREMONT AVENUE,Unspecified,Station Wagon/Sport Utility Vehicle,Unspecified,Station Wagon/Sport Utility Vehicle,,,,,2018.0
13469,2018-08-10T00:00:00.000,2025-11-21 16:42:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Alcohol Involvement,3959009.0,Bike,40.772415,-73.97874,"{'latitude': 40.772415, 'longitude': -73.97874}",CENTRAL PARK WEST               ,,,,Reaction to Uninvolved Vehicle,Garbage or Refuse,,,,,,,2018.0
13720,2018-07-23T00:00:00.000,2025-11-21 23:07:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Traffic Control Disregarded,3947274.0,Bike,40.77309,-73.91108,"{'latitude': 40.77309, 'longitude': -73.91108}",35 STREET                       ,QUEENS,11105.0,23 AVENUE,Unspecified,Station Wagon/Sport Utility Vehicle,,,,,,,2018.0
14049,2018-06-17T00:00:00.000,2025-11-21 13:05:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Lost Consciousness,3923395.0,Bike,40.709602,-73.991936,"{'latitude': 40.709602, 'longitude': -73.991936}",MANHATTAN BRIDGE                ,,,,,,,,,,,,2018.0
14576,2018-04-16T00:00:00.000,2025-11-21 20:23:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Driver Inattention/Distraction,3882891.0,Bike,,,,tunnel exit street              ,MANHATTAN,10016.0,east 39 street,Unspecified,Taxi,,,,,,,2018.0
15101,2017-12-18T00:00:00.000,2025-11-21 07:47:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Failure to Yield Right-of-Way,3812359.0,Bike,,,,48 STREET                       ,QUEENS,11378.0,LONG ISLAND EXPRESSWAY,Unspecified,Tractor Truck Diesel,,,,,,,2017.0
15616,2017-10-10T00:00:00.000,2025-11-21 22:16:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Other Vehicular,3768601.0,Bike,40.778606,-73.98163,"{'latitude': 40.778605999999996, 'longitude': -73.98163}",AMSTERDAM AVENUE                ,,,,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Tractor Truck Diesel,,,,,,,2017.0
15699,2017-09-30T00:00:00.000,2025-11-21 08:29:00,NOSTRAND AVENUE                         ,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unsafe Speed,3761143.0,Bike,40.650806,-73.94958,"{'latitude': 40.650806, 'longitude': -73.94958}",,,,,Unspecified,Sedan,,,,,,,2017.0
15973,2017-09-10T00:00:00.000,2025-11-21 09:06:00,,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,Alcohol Involvement,3747815.0,Bike,40.641953,-73.9885,"{'latitude': 40.641953, 'longitude': -73.9885}",12 AVENUE                       ,BROOKLYN,11218.0,39 STREET,Unspecified,Station Wagon/Sport Utility Vehicle,Unspecified,Bike,Unspecified,Unspecified,Bike,Bike,2017.0
16178,2017-08-17T00:00:00.000,2025-11-21 22:47:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unsafe Speed,3732658.0,Bike,40.7608,-73.93915,"{'latitude': 40.7608, 'longitude': -73.93915}",36 AVENUE                       ,QUEENS,11106.0,12 STREET,Unspecified,Sedan,,,,,,,2017.0
16351,2017-07-22T00:00:00.000,2025-11-21 00:26:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Driver Inattention/Distraction,3716167.0,Bike,40.72846,-73.95737,"{'latitude': 40.72846, 'longitude': -73.95737}",FRANKLIN STREET                 ,BROOKLYN,11222.0,NOBLE STREET,Unspecified,Garbage or Refuse,,,,,,,2017.0
16439,2017-07-11T00:00:00.000,2025-11-21 17:49:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,3709467.0,Bike,40.677338,-73.927536,"{'latitude': 40.677338, 'longitude': -73.927536}",ATLANTIC AVENUE                 ,BROOKLYN,11233.0,ROCHESTER AVENUE,Unspecified,Station Wagon/Sport Utility Vehicle,,,,,,,2017.0
16554,2017-06-17T00:00:00.000,2025-11-21 09:23:00,99        EAST DRIVE                    ,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Driver Inexperience,3695343.0,Bike,,,,,,,,,,,,,,,,2017.0
16699,2017-06-17T00:00:00.000,2025-11-21 13:36:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Failure to Yield Right-of-Way,3692425.0,Bike,40.747852,-73.99291,"{'latitude': 40.747852, 'longitude': -73.99291}",7 AVENUE                        ,MANHATTAN,10001.0,WEST 29 STREET,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Bus,,,,,,,2017.0
17114,2017-04-05T00:00:00.000,2025-11-21 07:19:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Passing or Lane Usage Improper,3645566.0,Bike,40.728195,-73.984886,"{'latitude': 40.728195, 'longitude': -73.984886}",1 AVENUE                        ,MANHATTAN,10009.0,EAST 9 STREET,Unspecified,Box Truck,,,,,,,2017.0
17187,2017-03-03T00:00:00.000,2025-11-21 17:30:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Failure to Yield Right-of-Way,3626043.0,Bike,40.751835,-73.82427,"{'latitude': 40.751835, 'longitude': -73.82427}",COLDEN STREET                   ,QUEENS,11355.0,ELDER AVENUE,Unspecified,,,,,,,,2017.0
